title,artist,year,era,url
Sheila,Tommy Roe,1962,hot100,https://en.wikipedia.org/wiki/Sheila_(Tommy_Roe_song)
Sherry,The Four Seasons,1962,hot100,https://en.wikipedia.org/wiki/Sherry_(song)
Monster Mash,Bobby 'Boris' Pickett & the Crypt-Kickers,1962,hot100,https://en.wikipedia.org/wiki/Monster_Mash
He's a Rebel,The Crystals,1962,hot100,https://en.wikipedia.org/wiki/He%27s_a_Rebel
Big Girls Don't Cry,The Four Seasons,1962,hot100,https://en.wikipedia.org/wiki/Big_Girls_Don%27t_Cry_(The_Four_Seasons_song)
Telstar,The Tornados,1962,hot100,https://en.wikipedia.org/wiki/Telstar_(instrumental)
Telstar,The Tornados,1963,hot100,https://en.wikipedia.org/wiki/Telstar_(instrumental)
Go Away Little Girl,Steve Lawrence,1963,hot100,https://en.wikipedia.org/wiki/Go_Away_Little_Girl
Walk Right In,The Rooftop Singers,1963,hot100,https://en.wikipedia.org/wiki/Walk_Right_In
Hey Paula,Paul & Paula,1963,hot100,https://en.wikipedia.org/wiki/Hey_Paula_(song)
Walk Like a Man,The Four Seasons,1963,hot100,https://en.wikipedia.org/wiki/Walk_Like_a_Man_(The_Four_Seasons_song)
Our Day Will Come,Ruby & the Romantics,1963,hot100,https://en.wikipedia.org/wiki/Our_Day_Will_Come
He's So Fine,The Chiffons,1963,hot100,https://en.wikipedia.org/wiki/He%27s_So_Fine
I Will Follow Him,Little Peggy March,1963,hot100,https://en.wikipedia.org/wiki/I_Will_Follow_Him
If You Wanna Be Happy,Jimmy Soul,1963,hot100,https://en.wikipedia.org/wiki/If_You_Wanna_Be_Happy
It's My Party,Lesley Gore,1963,hot100,https://en.wikipedia.org/wiki/It%27s_My_Party
Sukiyaki,Kyu Sakamoto,1963,hot100,https://en.wikipedia.org/wiki/Sukiyaki_(song)
Easier Said Than Done,The Essex,1963,hot100,https://en.wikipedia.org/wiki/Easier_Said_Than_Done
Surf City,Jan and Dean,1963,hot100,https://en.wikipedia.org/wiki/Surf_City_(song)
So Much in Love,The Tymes,1963,hot100,https://en.wikipedia.org/wiki/So_Much_in_Love
Fingertips,Little Stevie Wonder,1963,hot100,https://en.wikipedia.org/wiki/Fingertips
My Boyfriend's Back,The Angels,1963,hot100,https://en.wikipedia.org/wiki/My_Boyfriend%27s_Back_(song)
Blue Velvet,Bobby Vinton,1963,hot100,https://en.wikipedia.org/wiki/Blue_Velvet_(song)
Sugar Shack,Jimmy Gilmer and the Fireballs,1963,hot100,https://en.wikipedia.org/wiki/Sugar_Shack
Deep Purple,Nino Tempo & April Stevens,1963,hot100,https://en.wikipedia.org/wiki/Deep_Purple_(song)
I'm Leaving It Up to You,Dale & Grace,1963,hot100,https://en.wikipedia.org/wiki/I%27m_Leaving_It_Up_to_You
Dominique,The Singing Nun,1963,hot100,https://en.wikipedia.org/wiki/Dominique
There! I've Said It Again,Bobby Vinton,1964,hot100,https://en.wikipedia.org/wiki/There!_I%27ve_Said_It_Again
I Want to Hold Your Hand,The Beatles,1964,hot100,https://en.wikipedia.org/wiki/I_Want_to_Hold_Your_Hand
She Loves You,,1964,hot100,https://en.wikipedia.org/wiki/She_Loves_You
Can't Buy Me Love,,1964,hot100,https://en.wikipedia.org/wiki/Can%27t_Buy_Me_Love
"Hello, Dolly!",Louis Armstrong,1964,hot100,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(song)"
My Guy,Mary Wells,1964,hot100,https://en.wikipedia.org/wiki/My_Guy
Love Me Do,The Beatles,1964,hot100,https://en.wikipedia.org/wiki/Love_Me_Do
Chapel of Love,The Dixie Cups,1964,hot100,https://en.wikipedia.org/wiki/Chapel_of_Love
A World Without Love,Peter and Gordon,1964,hot100,https://en.wikipedia.org/wiki/A_World_Without_Love
I Get Around,The Beach Boys,1964,hot100,https://en.wikipedia.org/wiki/I_Get_Around
Rag Doll,The Four Seasons,1964,hot100,https://en.wikipedia.org/wiki/Rag_Doll_(The_Four_Seasons_song)
A Hard Day's Night,The Beatles,1964,hot100,https://en.wikipedia.org/wiki/A_Hard_Day%27s_Night_(song)
Everybody Loves Somebody,Dean Martin,1964,hot100,https://en.wikipedia.org/wiki/Everybody_Loves_Somebody
Where Did Our Love Go,The Supremes,1964,hot100,https://en.wikipedia.org/wiki/Where_Did_Our_Love_Go
The House of the Rising Sun,The Animals,1964,hot100,https://en.wikipedia.org/wiki/The_House_of_the_Rising_Sun
"Oh, Pretty Woman",Roy Orbison,1964,hot100,"https://en.wikipedia.org/wiki/Oh,_Pretty_Woman"
Do Wah Diddy Diddy,Manfred Mann,1964,hot100,https://en.wikipedia.org/wiki/Do_Wah_Diddy_Diddy
Baby Love,The Supremes,1964,hot100,https://en.wikipedia.org/wiki/Baby_Love
Leader of the Pack,The Shangri-Las,1964,hot100,https://en.wikipedia.org/wiki/Leader_of_the_Pack
Ringo,Lorne Greene,1964,hot100,https://en.wikipedia.org/wiki/Ringo_(song)
Mr. Lonely,Bobby Vinton,1964,hot100,https://en.wikipedia.org/wiki/Mr._Lonely_(Bobby_Vinton_song)
Come See About Me,The Supremes,1964,hot100,https://en.wikipedia.org/wiki/Come_See_About_Me
I Feel Fine,The Beatles,1964,hot100,https://en.wikipedia.org/wiki/I_Feel_Fine
I Feel Fine,The Beatles,1965,hot100,https://en.wikipedia.org/wiki/I_Feel_Fine
Come See About Me,The Supremes,1965,hot100,https://en.wikipedia.org/wiki/Come_See_About_Me
Downtown,Petula Clark,1965,hot100,https://en.wikipedia.org/wiki/Downtown_(Petula_Clark_song)
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,hot100,https://en.wikipedia.org/wiki/You%27ve_Lost_That_Lovin%27_Feelin%27
This Diamond Ring,Gary Lewis & the Playboys,1965,hot100,https://en.wikipedia.org/wiki/This_Diamond_Ring
My Girl,The Temptations,1965,hot100,https://en.wikipedia.org/wiki/My_Girl_(The_Temptations_song)
Eight Days a Week,The Beatles,1965,hot100,https://en.wikipedia.org/wiki/Eight_Days_a_Week
Stop! In the Name of Love,The Supremes,1965,hot100,https://en.wikipedia.org/wiki/Stop!_In_the_Name_of_Love
I'm Telling You Now,Freddie and the Dreamers,1965,hot100,https://en.wikipedia.org/wiki/I%27m_Telling_You_Now
Game of Love,Wayne Fontana,1965,hot100,https://en.wikipedia.org/wiki/The_Game_of_Love_(Wayne_Fontana_and_the_Mindbenders_song)
