year,era,pre-2012,url
2003,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2003
2004,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2004
2005,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2005
2006,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2006
2007,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2007
2008,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2008
2009,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2009
2010,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2010
2011,hot100,True,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2011
2012,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2012
2013,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2013
2014,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2014
2015,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2015
2016,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2016
2017,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2017
2018,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2018
2019,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2019
2020,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2020
2021,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2021
2022,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2022
2023,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2023
2024,hot100,False,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_2024
