album,artist,date,genre,name,score,tags,url
Purple Moonlight Pages,R.A.P. Ferreira,2020-03-21T13:41:00-0400,hip hop,R.A.P. Ferreira - Purple Moonlight Pages,8,rap ferreira | purple moonlight pages | 2020 | ruby yacht | rap | hip hop | abstract | jazz rap | 8/10 | review,https://www.theneedledrop.com/articles/2020/3/rap-ferreira-purple-moonlight-pages
None,gupi,2020-03-07T12:24:00-0500,electronic,gupi - None,7,gupi | none | 2020 | dog show | electronic | bubblegum bass | 7/10 | review,https://www.theneedledrop.com/articles/2020/3/gupi-none
Eternal Atake,Lil Uzi Vert,2020-03-09T22:44:00-0400,hip hop,Lil Uzi Vert - Eternal Atake,4,lil uzi vert | eternal atake | 2020 | atlantic | rap | hip hop | trap | 4/10 | review,https://www.theneedledrop.com/articles/2020/3/lil-uzi-vert-eternal-atake
Heavy Light,U.S. Girls,2020-03-10T22:46:00-0400,pop,U.S. Girls - Heavy Light,5,u.s. girls | heavy light | 2020 | 4ad | pop | indie | 5/10 | review,https://www.theneedledrop.com/articles/2020/3/us-girls-heavy-light
I Let It in and It Took Everything,Loathe,2020-03-11T22:48:00-0400,loud rock,Loathe - I Let It in and It Took Everything,6,loathe | i let it in and it took everything | 2020 | sharptone | metal | loud rock | metalcore | alternative metal | 6/10 | review,https://www.theneedledrop.com/articles/2020/3/loathe-i-let-it-in-and-it-took-everything
Suddenly,Caribou,2020-03-04T22:51:00-0500,electronic,Caribou - Suddenly,7,caribou | suddenly | 2020 | merge | electronic | indietronica | deep house | alternative r&b | indie pop | 7/10 | review,https://www.theneedledrop.com/articles/2020/3/caribou-suddenly
We're New Again,Makaya McCraven,2020-02-19T22:42:00-0500,other,Makaya McCraven - We're New Again,6,makaya mccraven | we're new again | 2020 | xl | gil scott-heron | other | jazz | nu jazz | spoken word | poetry | 6/10 | review,https://www.theneedledrop.com/articles/2020/2/makaya-mccraven-were-new-again
No Future,EDEN,2020-02-21T22:45:00-0500,pop,EDEN - No Future,4,eden | no future | 2020 | astralwerks | pop | alternative r&b | indietronica | 4/10 | review,https://www.theneedledrop.com/articles/2020/2/eden-no-future
Man Alive!,King Krule,2020-02-24T23:18:00-0500,rock,King Krule - Man Alive!,8,king krule | man alive | 2020 | matador | rock | art rock | post-punk | neo-psychedelia | 8/10 | review,https://www.theneedledrop.com/articles/2020/2/king-krule-man-alive
Map of the Soul: 7,BTS,2020-02-25T23:22:00-0500,pop,BTS - Map of the Soul: 7,5,bts | map of the soul | 7 | big hit | 2020 | pop | k-pop | rap | trap | 5/10 | review,https://www.theneedledrop.com/articles/2020/2/bts-map-of-the-soul-7
The Allegory,"Royce da 5'9""",2020-02-26T22:13:00-0500,hip hop,"Royce da 5'9"" - The Allegory",6,"royce da 5'9"" | royce 5'9 | the allegory | 2020 | eone | rap | hip hop | conscious | political | 6/10 | review",https://www.theneedledrop.com/articles/2020/2/royce-da-59-the-allegory
Miss Anthropocene,Grimes,2020-02-27T22:33:00-0500,pop,Grimes - Miss Anthropocene,4,grimes | miss anthropocene | 2020 | 4ad | pop | synthpop | ethereal wave | electronica | 4/10 | review,https://www.theneedledrop.com/articles/2020/2/grimes-miss-anthropocene
The Slow Rush,Tame Impala,2020-02-18T22:39:00-0500,pop,Tame Impala - The Slow Rush,6,tame impala | the slow rush | 2020 | modular | kevin parker | pop | neo-psychedelia | synthpop | nu-disco | 6/10 | review,https://www.theneedledrop.com/articles/2020/2/tame-impala-the-slow-rush
Be Up a Hello,Squarepusher,2020-02-07T23:12:00-0500,electronic,Squarepusher - Be Up a Hello,7,squarepusher | be up a hello | 2020 | warp | electronic | drill 'n' bass | drum and bass | glitch | idm | ambient | 7/10 | review,https://www.theneedledrop.com/articles/2020/2/squarepusher-be-up-a-hello
Father of All Motherfuckers,Green Day,2020-02-10T22:58:00-0500,rock,Green Day - Father of All Motherfuckers,0,green day | father of all | 2020 | reprise | rock | pop rock | 0/10 | review,https://www.theneedledrop.com/articles/2020/2/green-day-father-of-all-motherfuckers
Unlocked,Denzel Curry x Kenny Beats,2020-02-11T23:06:00-0500,hip hop,Denzel Curry x Kenny Beats - Unlocked,8,denzel curry | kenny beats | unlocked | 2020 | loma vista | collab | collaboration | rap | hip hop | hardcore hip hop | boom bap | wonky | 8/10 | review,https://www.theneedledrop.com/articles/2020/2/denzel-curry-x-kenny-beats-unlocked
2017–2019,Against All Logic,2020-02-12T23:09:00-0500,other people,Against All Logic - 2017–2019,8,against all logic | 2017 - 2019 | 2020 | other people | electronic | techno | house | idm | deconstructed club | 2017-2019 | 8/10 | review,https://www.theneedledrop.com/articles/2020/2/against-all-logic-20172019
Likewise,Frances Quinlan,2020-02-13T23:12:00-0500,indie pop,Frances Quinlan - Likewise,6,frances quinlan | likewise | 2020 | saddle creek | singer-songwriter | indie pop | other | 6/10 | review,https://www.theneedledrop.com/articles/2020/2/frances-quinlan-likewise
West of Eden,HMLTD,2020-02-14T23:15:00-0500,rock,HMLTD - West of Eden,8,hmltd | west of eden | 2020 | lucky number | rock | post-punk | art pop | glam | 8/10 | review,https://www.theneedledrop.com/articles/2020/2/hmltd-west-of-eden
Mystic Familiar,Dan Deacon,2020-02-06T23:10:00-0500,electronic,Dan Deacon - Mystic Familiar,8,dan deacon | mystic familiar | 2020 | domino | electronic | progressive pop | neo-psychedelia | indietronica | post-minimalism | 8/10 | review,https://www.theneedledrop.com/articles/2020/2/dan-deacon-mystic-familiar
I Disagree,Poppy,2020-01-24T23:40:53-0500,poppy,Poppy - I Disagree,8,poppy | i disagree | 2020 | sumerian | loud rock | alternative metal | electro-industrial | dream pop | 8/10 | review,https://www.theneedledrop.com/articles/2020/1/poppy-i-disagree
Vol. 2: As Good as Dead,City Morgue,2020-01-28T21:23:00-0500,hip hop,City Morgue - Vol. 2: As Good as Dead,7,city morgue | sosmula | zillakami | 2019 | republic | rap | hip hop | trap | metal | horrorcore | emo rap | 7/10 | review,https://www.theneedledrop.com/articles/2020/1/city-morgue-vol-2-as-good-as-dead
Please Excuse Me for Being Antisocial,Roddy Ricch,2020-01-29T22:27:00-0500,hip hop,Roddy Ricch - Please Excuse Me for Being Antisocial,7,roddy ricch | please excuse me for being antisocial | 2019 | atlantic | rap | hip hop | trap | 7/10 | review,https://www.theneedledrop.com/articles/2020/1/roddy-ricch-please-excuse-me-for-being-antisocial
Modus Vivendi,070 Shake,2020-01-30T22:44:00-0500,pop,070 Shake - Modus Vivendi,5,070 shake | modus vivendi | 2020 | good music | pop | art pop | alternative r&b | trap | 5/10 | review,https://www.theneedledrop.com/articles/2020/1/070-shake-modus-vivendi
There Is No Year,Algiers,2020-02-03T23:01:00-0500,rock,Algiers - There Is No Year,5,algiers | there is no year | 2020 | matador | rock | post-punk | soul | 5/10 | review,https://www.theneedledrop.com/articles/2020/2/algiers-there-is-no-year
High Road,Kesha,2020-02-04T23:06:00-0500,pop,Kesha - High Road,7,kesha | high road | 2020 | kemosabe | pop | 7/10 | review,https://www.theneedledrop.com/articles/2020/2/kesha-high-road
Funeral,Lil Wayne,2020-02-05T23:08:00-0500,hip hop,Lil Wayne - Funeral,4,lil wayne | funeral | 2020 | young money | rap | hip hop | trap | 4/10 | review,https://www.theneedledrop.com/articles/2020/2/lil-wayne-funeral
My Beautiful Dark Twisted Fantasy,Kanye West,2020-01-09T23:51:00-0500,hip hop,Kanye West - My Beautiful Dark Twisted Fantasy,6,kanye west | my beautiful dark twisted fantasy | mbdtf | 2010 | def jam | rap | hip hop | art pop | redux | re-review | 6/10 | review,https://www.theneedledrop.com/articles/2020/1/kanye-west-my-beautiful-dark-twisted-fantasy
Circles,Mac Miller,2020-01-21T23:58:00-0500,pop,Mac Miller - Circles,8,mac miller | circles | 2020 | warner bros | pop | neo-soul | pop rap | singer-songwriter | 8/10 | review,https://www.theneedledrop.com/articles/2020/1/mac-miller-circles
Music to Be Murdered By,Eminem,2020-01-20T22:54:00-0500,hip hop,Eminem - Music to Be Murdered By,5,eminem | music to be murdered by | 2020 | shady | rap | hip hop | horrorcore | trap | 5/10 | review,https://www.theneedledrop.com/articles/2020/1/eminem-music-to-be-murdered-by
JACKBOYS,JACKBOYS,2020-01-22T23:27:00-0500,hip hop,JACKBOYS - JACKBOYS,5,jackboys | self-titled | 2019 | cactus jack | epic | rap | hip hop | trap | travis scott | don toliver | sheck wes | 5/10 | review,https://www.theneedledrop.com/articles/2020/1/jackboys-jackboys
Heavy Is the Head,Stormzy,2020-01-23T23:38:00-0500,hip hop,Stormzy - Heavy Is the Head,8,stormzy | heavy is the head | 2019 | #merky | rap | hip hop | uk | grime | 8/10 | review,https://www.theneedledrop.com/articles/2020/1/stormzy-heavy-is-the-head
Death Atlas,Cattle Decapitation,2019-12-11T20:45:00-0500,loud rock,Cattle Decapitation - Death Atlas,6,cattle decapitation | death atlas | 2019 | metal blade | loud rock | metal | deathgrind | technical death metal | 6/10 | review,https://www.theneedledrop.com/articles/2019/12/cattle-decapitation-death-atlas
City as School,Uncommon Nasa &amp; Kount Fif,2019-12-12T20:47:00-0500,hip hop,Uncommon Nasa &amp; Kount Fif - City as School,5,uncommon nasa | kount fif | city as school | 2019 | collaboration | man bites dog | rap | hip hop | east coast | 5/10 | review,https://www.theneedledrop.com/articles/2019/12/uncommon-nasa-amp-kount-fif-city-as-school
E,Ecco2K,2019-12-13T20:50:00-0500,pop,Ecco2K - E,7,ecco2k | drain gang | e | debut | year0001 | pop | alternative r&b | cloud rap | ambient pop | 7/10 | review,https://www.theneedledrop.com/articles/2019/12/ecco2k-e
the first glass beach album,glass beach,2019-12-14T20:55:00-0500,rock,glass beach - the first glass beach album,7,glass beach | first album | 2019 | run for cover | rock | indie | emo | power pop | 7/10 | review,https://www.theneedledrop.com/articles/2019/12/glass-beach-the-first-glass-beach-album
Fine Line,Harry Styles,2019-12-15T12:57:00-0500,pop,Harry Styles - Fine Line,5,harry styles | fine line | 2019 | columbia | pop | pop rock | soul | 5/10 | review,https://www.theneedledrop.com/articles/2019/12/harry-styles-fine-line
WWCD,Griselda,2019-12-09T20:39:00-0500,hip hop,Griselda - WWCD,7,griselda | wwcd | 2019 | shady records | rap | hip hop | east coast | gangsta rap | 7/10 | review,https://www.theneedledrop.com/articles/2019/12/griselda-wwcd
Everyday Life,Coldplay,2019-11-26T22:21:00-0500,rock,Coldplay - Everyday Life,5,coldplay | everyday life | 2019 | parlophone | rock | pop rock | art rock | 5/10 | review,https://www.theneedledrop.com/articles/2019/11/coldplay-everyday-life
A Love Letter to You 4,Trippie Redd,2019-11-29T21:59:00-0500,hip hop,Trippie Redd - A Love Letter to You 4,4,trippie redd | a love letter to you 4 | 2019 | tenthousand projects | rap | hip hop | emo | trap | pop rap | alternative r&b | 4/10 | review,https://www.theneedledrop.com/articles/2019/11/trippie-redd-a-love-letter-to-you-4
Polyhymnia,Yazz Ahmed,2019-12-02T17:05:00-0500,other,Yazz Ahmed - Polyhymnia,8,yazz ahmed | polyhymnia | 2019 | ropeadope | jazz | other | jazz fusion | arabic | 8/10,https://www.theneedledrop.com/articles/2019/12/yazz-ahmed-polyhymnia
II,TNGHT,2019-12-03T19:26:00-0500,electronic,TNGHT - II,7,tnght | ii | ep | 2019 | warp | lunice | hudson mohawke | electronic | trap | wonky | deconstructed club | glitch hop | 7/10 | review,https://www.theneedledrop.com/articles/2019/12/tnght-ii
Hyperspace,Beck,2019-12-04T18:30:00-0500,pop,Beck - Hyperspace,4,beck | hyperspace | 2019 | fonograf | pop | synthpop | neo-psychedelia | 4/10 | review,https://www.theneedledrop.com/articles/2019/12/beck-hyperspace
Generasian,Lim Kim,2019-12-05T18:33:00-0500,other,Lim Kim - Generasian,7,lim kim | generasian | ep | 2019 | lim company | other | industrial hip hop | korean folk | art pop | deconstructed club | 7/10 | review,https://www.theneedledrop.com/articles/2019/12/lim-kim-generasian
Reflections,Hannah Diamond,2019-12-06T18:36:00-0500,pop,Hannah Diamond - Reflections,6,hannah diamond | reflections | 2019 | pc music | pop | electropop | bubblegum bass | 6/10 | review,https://www.theneedledrop.com/articles/2019/12/hannah-diamond-reflections
Lost Wisdom pt. 2,Mount Eerie with Julie Doiron,2019-11-19T22:37:00-0500,other,Mount Eerie with Julie Doiron - Lost Wisdom pt. 2,6,mount eerie | julie doiron | lost wisdom pt 2 | 2019 | p.w. elverum & sun | other | folk | indie | singer-songwriter | 6/10 | review,https://www.theneedledrop.com/articles/2019/11/mount-eerie-with-julie-doiron-lost-wisdom-pt-2
H.A.Q.Q.,Liturgy,2019-11-20T22:40:00-0500,loud rock,Liturgy - H.A.Q.Q.,9,liturgy | haqq | 2019 | ylylcyn | loud rock | metal | black metal | modern classical | avant-garde | glitch | 9/10 | review,https://www.theneedledrop.com/articles/2019/11/liturgy-haqq
Good Faith,Madeon,2019-11-22T21:43:00-0500,electronic,Madeon - Good Faith,6,madeon | good faith | 2019 | columbia | electronic | house | electropop | 6/10,https://www.theneedledrop.com/articles/2019/11/madeon-good-faith
Sea of Worry,Have a Nice Life,2019-11-25T22:18:00-0500,rock,Have a Nice Life - Sea of Worry,3,have a nice life | sea of worry | 2019 | enemies list | rock | post-punk | goth | 3/10 | review,https://www.theneedledrop.com/articles/2019/11/have-a-nice-life-sea-of-worry
Kiwanuka,Michael Kiwanuka,2019-11-13T22:03:00-0500,pop,Michael Kiwanuka - Kiwanuka,7,michael kiwanuka | kiwanuka | self-titled | 2019 | interscope | pop | psychedelic soul | soul | 7/10 | review,https://www.theneedledrop.com/articles/2019/11/michael-kiwanuka-kiwanuka
COIN COIN Chapter Four: Memphis,Matana Roberts,2019-11-14T23:11:00-0500,other,Matana Roberts - COIN COIN Chapter Four: Memphis,9,matana roberts | coin coin | chapter four | memphis | 2019 | constellation | other | jazz | avant-garde jazz | spoken word | poetry | 9/10 | review,https://www.theneedledrop.com/articles/2019/11/matana-roberts-coin-coin-chapter-four-memphis
Hot Pink,Doja Cat,2019-11-15T10:10:00-0500,hip hop,Doja Cat - Hot Pink,4,doja cat | hot pink | 2019 | kemosabe | rap | hip hop | pop rap | trap | 4/10 | review,https://www.theneedledrop.com/articles/2019/11/doja-cat-hot-pink
Everybody's Everything,Lil Peep,2019-11-18T21:34:00-0500,hip hop,Lil Peep - Everybody's Everything,5,lil peep | everybody's everything | 2019 | columbia | rap | hip hop | trap | cloud rap | emo | compilation | 5/10 | review,https://www.theneedledrop.com/articles/2019/11/lil-peep-everybodys-everything
Pony,Rex Orange County,2019-10-31T22:56:00-0400,pop,Rex Orange County - Pony,5,rex orange county | pony | 2019 | sony | pop | indie pop | neo-soul | 5/10 | review,https://www.theneedledrop.com/articles/2019/10/rex-orange-county-pony
Feet of Clay,Earl Sweatshirt,2019-11-04T22:23:00-0500,hip hop,Earl Sweatshirt - Feet of Clay,5,earl sweatshirt | feet of clay | ep | 2019 | tan cressida | rap | hip hop | abstract hip hop | 5/10 | review,https://www.theneedledrop.com/articles/2019/11/earl-sweatshirt-feet-of-clay
Pyroclasts,Sunn O))),2019-11-05T22:29:00-0500,loud rock,Sunn O))) - Pyroclasts,8,sunn o))) | pyroclasts | 2019 | southern lord | loud rock | drone metal | 8/10 | review,https://www.theneedledrop.com/articles/2019/11/sunn-o-pyroclasts
[USA],Anamanaguchi,2019-11-07T22:34:00-0500,electronic,Anamanaguchi - [USA],8,anamanaguchi | usa | 2019 | polyvinyl | electronic | chiptune | bitpop | 8/10,https://www.theneedledrop.com/articles/2019/11/anamanaguchi-usa
One of the Best Yet,Gang Starr,2019-11-08T21:51:00-0500,hip hop,Gang Starr - One of the Best Yet,7,gang starr | one of the best yet | 2019 | rap | hip hop | east coast | boom bap | 7/10 | review,https://www.theneedledrop.com/articles/2019/11/gang-starr-one-of-the-best-yet
Hitler Wears Hermes 7,Westside Gunn,2019-11-11T21:56:00-0500,hip hop,Westside Gunn - Hitler Wears Hermes 7,5,westside gunn | hitler wears hermes 7 | hwh7 | mixtape | 2019 | griselda | rap | hip hop | east coast | hardcore hip hop | 5/10 | review,https://www.theneedledrop.com/articles/2019/11/westside-gunn-hitler-wears-hermes-7
Jesus Is King,Kanye West,2019-10-28T21:35:13-0400,hip hop,Kanye West - Jesus Is King,4,kanye west | jesus is king | 2019 | good music | def jam | rap | hip hop | gospel | pop rap | trap | alternative r&b | 4/10 | review,https://www.theneedledrop.com/articles/2019/10/kanye-west-jesus-is-king
Magdalene,FKA twigs,2019-11-12T23:12:00-0500,pop,FKA twigs - Magdalene,7,fka twigs | magdalene | young turks | 2019 | pop | art pop | alternative r&b | 7/10 | review,https://www.theneedledrop.com/articles/2019/11/fka-twigs-magdalene
There Existed an Addiction to Blood,clipping.,2019-10-26T22:23:00-0400,sub pop,clipping. - There Existed an Addiction to Blood,8,clipping | there existed an addiction to blood | 2019 | sub pop | rap | hip hop | industrial hip hop | experimental hip hop | noise | field recordings | horrorcore | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/clipping-there-existed-an-addiction-to-blood
leaving meaning.,Swans,2019-10-30T21:53:00-0400,rock,Swans - leaving meaning.,7,swans | leaving meaning | 2019 | young god | rock | avant-folk | neofolk | post-rock | drone | gothic country | 7/10 | review,https://www.theneedledrop.com/articles/2019/10/swans-leaving-meaning
Sonic Citadel,Lightning Bolt,2019-10-22T23:14:00-0400,rock,Lightning Bolt - Sonic Citadel,8,lightning bolt | sonic citadel | 2019 | rock | noise rock | thrill jockey | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/lightning-bolt-sonic-citadel
Juice B Crypts,Battles,2019-10-23T22:16:00-0400,rock,Battles - Juice B Crypts,5,battles | juice b crypts | 2019 | warp | rock | math rock | indietronica | neo-psychedelia | 5/10 | review,https://www.theneedledrop.com/articles/2019/10/battles-juice-b-crypts
Pang,Caroline Polachek,2019-10-24T22:18:00-0400,pop,Caroline Polachek - Pang,8,caroline polachek | pang | 2019 | columbia | pop | art pop | electropop | alternative r&b | pc music | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/caroline-polachek-pang
2020,Richard Dawson,2019-10-17T21:56:00-0400,other,Richard Dawson - 2020,9,richard dawson | 2020 | 2019 | domino | weird world | other | art rock | singer-songwriter | avant-folk | 9/10 | review,https://www.theneedledrop.com/articles/2019/10/richard-dawson-2020
Little Electric Chicken Heart,Ana Frango Elétrico,2019-10-21T22:09:00-0400,rock,Ana Frango Elétrico - Little Electric Chicken Heart,8,ana frango eletrico | little electric chicken heart | 2019 | brazil | selo risco | rock | chamber pop | indie | samba | jazz | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/ana-frango-eltrico-little-electric-chicken-heart
Two Hands,Big Thief,2019-10-18T22:24:00-0400,rock,Big Thief - Two Hands,7,big thief | two hands | 2019 | 4ad | rock | indie | folk | 7/10 | review,https://www.theneedledrop.com/articles/2019/10/big-thief-two-hands
Ghosteen,Nick Cave and the Bad Seeds,2019-10-16T22:53:00-0400,other,Nick Cave and the Bad Seeds - Ghosteen,7,nick cave | bad seeds | 2019 | ghosteen | other | ambient | singer-songwriter | spoken word | 7/10 | review,https://www.theneedledrop.com/articles/2019/10/nick-cave-and-the-bad-seeds-ghosteen
Terror Management,billy woods,2019-10-09T23:11:00-0400,hip hop,billy woods - Terror Management,6,billy woods | terror management | 2019 | backwoodz studioz | rap | hip hop | east coast | abstract hip hop | conscious | 6/10 | review,https://www.theneedledrop.com/articles/2019/10/billy-woods-terror-management
All Mirrors,Angel Olsen,2019-10-15T23:00:00-0400,pop,Angel Olsen - All Mirrors,6,angel olsen | all mirrors | 2019 | jagjaguwar | pop | chamber pop | dream pop | 6/10 | review,https://www.theneedledrop.com/articles/2019/10/angel-olsen-all-mirrors
Sound &amp; Fury,Sturgill Simpson,2019-10-14T22:55:00-0400,rock,Sturgill Simpson - Sound &amp; Fury,5,sturgill simpson | sound & fury | 2019 | elektra | rock | alt-country | hard rock | southern rock | 5/10 | review,https://www.theneedledrop.com/articles/2019/10/sturgill-simpson-sound-amp-fury
XYZ,"Iglooghost, Kai Whiston &amp; BABii",2019-09-26T20:57:00-0400,electronic,"Iglooghost, Kai Whiston &amp; BABii - XYZ",7,iglooghost | kai whiston | babii | xyz | gloo | collab | collaboration | 2019 | electronic | wonky | bubblegum bass | glitch hop | 7/10 | review,https://www.theneedledrop.com/articles/2019/9/iglooghost-kai-whiston-amp-babii-xyz
Memory,Vivian Girls,2019-09-27T13:00:00-0400,rock,Vivian Girls - Memory,6,vivian girls | memory | 2019 | polyvinyl | rock | indie | noise pop | garage punk | 6/10 | review,https://www.theneedledrop.com/articles/2019/9/vivian-girls-memory
182,blink,2019-09-28T13:26:00-0400,rock,blink-182 - Nine,2,blink-182 | nine | 2019 | columbia | rock | pop punk | electropop | pop rock | 2/10 | review,https://www.theneedledrop.com/articles/2019/9/blink-182-nine
Jaime,Brittany Howard,2019-10-01T21:08:00-0400,rock,Brittany Howard - Jaime,7,brittany howard | jaime | 2019 | ato | rock | singer-songwriter | blues | psychedelic soul | 7/10 | review,https://www.theneedledrop.com/articles/2019/10/brittany-howard-jaime
The Fall of Hobo Johnson,Hobo Johnson,2019-10-02T23:11:00-0400,hip hop,Hobo Johnson - The Fall of Hobo Johnson,8,hobo johnson | the fall of hobo johnson | 2019 | reprise | rap | hip hop | emo | alternative rock | spoken word | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/hobo-johnson-the-fall-of-hobo-johnson
Kirk,DaBaby,2019-10-03T21:31:00-0400,hip hop,DaBaby - Kirk,5,dababy | kirk | 2019 | interscope | rap | hip hop | trap | 5/10 | review,https://www.theneedledrop.com/articles/2019/10/dababy-kirk
Come in,Weatherday,2019-10-05T14:33:00-0400,rock,Weatherday - Come in,7,weatherday | come in | 2019 | self-released | lo-fi | indie | rock | noise pop | singer-songwriter | emo | 7/10 | review,https://www.theneedledrop.com/articles/2019/10/weatherday-come-in
House of Sugar,(Sandy) Alex G,2019-09-20T22:17:00-0400,other,(Sandy) Alex G - House of Sugar,5,alex g | house of sugar | 2019 | domino | other | singer-songwriter | psych folk | indietronica | alt-country | 5/10 | review,https://www.theneedledrop.com/articles/2019/9/sandy-alex-g-house-of-sugar
Emmanuel,Ameer Vann,2019-09-23T20:15:39-0400,hip hop,Ameer Vann - Emmanuel,4,ameer vann | emmanuel | ep | 2019 | winston wolf | rap | hip hop | trap | hardcore hip hop | 4/10 | review,https://www.theneedledrop.com/articles/2019/9/ameer-vann-emmanuel
uknowhatimsayin¿,Danny Brown,2019-10-08T23:00:00-0400,hip hop,Danny Brown - uknowhatimsayin¿,8,danny brown | uknowhatimsayin | 2019 | warp | rap | hip hop | alternative hip hop | hardcore hip hop | jazz rap | boom bap | 8/10 | review,https://www.theneedledrop.com/articles/2019/10/danny-brown-uknowhatimsayin
Birth of Violence,Chelsea Wolfe,2019-09-24T21:50:00-0400,other,Chelsea Wolfe - Birth of Violence,5,chelsea wolfe | birth of violence | 2019 | sargent house | other | singer-songwriter | gothic country | dark folk | 5/10 | review,https://www.theneedledrop.com/articles/2019/9/chelsea-wolfe-birth-of-violence
The Highwomen,The Highwomen,2019-09-19T22:56:00-0400,pop,The Highwomen - The Highwomen,8,highwomen | 2019 | self-titled | elektra | country | pop | collaboration | supergroup | brandi carlile | natalie hemby | maren morris | amanda shires | 8/10 | review,https://www.theneedledrop.com/articles/2019/9/the-highwomen-the-highwomen
Miami Memory,Alex Cameron,2019-09-16T23:13:00-0400,rock,Alex Cameron - Miami Memory,8,alex cameron | miami memory | 2019 | secretly canadian | rock | pop rock | synthpop | heartland | 8/10 | review,https://www.theneedledrop.com/articles/2019/9/alex-cameron-miami-memory
All My Heroes Are Cornballs,JPEGMAFIA,2019-09-17T23:16:00-0400,hip hop,JPEGMAFIA - All My Heroes Are Cornballs,8,jpegmafia | all my heroes are cornballs | 2019 | eqt | rap | hip hop | glitch | industrial | experimental hip hop | alternative r&b | 8/10 | review,https://www.theneedledrop.com/articles/2019/9/jpegmafia-all-my-heroes-are-cornballs
Charli,Charli XCX,2019-09-18T23:53:00-0400,pop,Charli XCX - Charli,9,charli xcx | charli | 2019 | asylum | pop | electropop | futurepop | bubblegum bass | 9/10 | review,https://www.theneedledrop.com/articles/2019/9/charli-xcx-charli
Is He Real?,IDK,2019-09-14T22:56:00-0400,hip hop,IDK - Is He Real?,6,idk | is he real | 2019 | warner | rap | hip hop | conscious | pop rap | trap | 6/10 | review,https://www.theneedledrop.com/articles/2019/9/idk-is-he-real
93PUNX,93PUNX,2019-09-01T22:33:00-0400,rock,93PUNX - 93PUNX,1,93punx | vic mensa | 2019 | roc nation | rock | rap | pop punk | emo | trap | 1/10 | review,https://www.theneedledrop.com/articles/2019/9/93punx-93punx
Fear Inoculum,Tool,2019-09-03T22:36:00-0400,loud rock,Tool - Fear Inoculum,4,tool | fear inoculum | 2019 | rca | loud rock | metal | prog | alternative metal | progressive metal | 4/10 | review,https://www.theneedledrop.com/articles/2019/9/tool-fear-inoculum
Animated Violence Mild,Blanck Mass,2019-09-04T22:41:17-0400,electronic,Blanck Mass - Animated Violence Mild,7,blanck mass | animated violence mild | 2019 | sacred bones | electronic | electro-industrial | trance | power noise | 7/10 | review,https://www.theneedledrop.com/articles/2019/9/blanck-mass-animated-violence-mild
Norman Fucking Rockwell!,Lana Del Rey,2019-09-05T23:11:00-0400,norman fucking rockwell,Lana Del Rey - Norman Fucking Rockwell!,8,lana del rey | norman fucking rockwell | nfr | 2019 | interscope | pop | dream pop | soft rock | chamber pop | singer-songwriter | 8/10 | review,https://www.theneedledrop.com/articles/2019/9/lana-del-rey-norman-fucking-rockwell
Braindrops,Tropical Fuck Storm,2019-09-06T20:24:00-0400,rock,Tropical Fuck Storm - Braindrops,8,tropical fuck storm | braindrops | 2019 | joyful noise | rock | art punk | post-punk | 8/10 | review,https://www.theneedledrop.com/articles/2019/9/tropical-fuck-storm-braindrops
Hollywood's Bleeding,Post Malone,2019-09-10T23:27:00-0400,hip hop,Post Malone - Hollywood's Bleeding,5,post malone | hollywood's bleeding | 2019 | republic | rap | hip hop | pop rap | trap | emo | alternative r&b | 5/10 | review,https://www.theneedledrop.com/articles/2019/9/post-malone-hollywoods-bleeding
Mirrorland,EarthGang,2019-09-13T20:35:10-0400,hip hop,EarthGang - Mirrorland,6,earthgang | mirrorland | 2019 | dreamville | rap | hip hop | trap | pop rap | atlanta | neo-soul | 6/10 | review,https://www.theneedledrop.com/articles/2019/9/earthgang-mirrorland
Kinney,Sleater,2019-08-25T21:30:00-0400,mom + pop,Sleater-Kinney - The Center Won't Hold,5,sleater-kinney | the center won't hold | 2019 | mom + pop | rock | indie | 5/10 | review,https://www.theneedledrop.com/articles/2019/8/sleater-kinney-the-center-wont-hold
GINGER,BROCKHAMPTON,2019-08-26T23:33:00-0400,brockhampton,BROCKHAMPTON - GINGER,8,brockhampton | ginger | 2019 | rca | question everything | rap | hip hop | pop | alternative hip hop | alternative r&b | 8/10 | review,https://www.theneedledrop.com/articles/2019/8/brockhampton-ginger
Lover,Taylor Swift,2019-08-27T23:36:00-0400,pop,Taylor Swift - Lover,6,taylor swift | lover | 2019 | republic | pop | electropop | 6/10 | review,https://www.theneedledrop.com/articles/2019/8/taylor-swift-lover
Eve,Rapsody,2019-08-31T22:29:00-0400,hip hop,Rapsody - Eve,7,rapsody | eve | 2019 | jamla | rap | hip hop | conscious | 7/10 | review,https://www.theneedledrop.com/articles/2019/8/rapsody-eve
So Much Fun,Young Thug,2019-08-21T21:27:00-0400,hip hop,Young Thug - So Much Fun,7,young thug | so much fun | 2019 | 300 entertainment | rap | hip hop | trap | pop rap | 7/10 | review,https://www.theneedledrop.com/articles/2019/8/young-thug-so-much-fun
