,Train R2,Test R2,MSE
Linear_regression,0.28612293706847725,0.26178097968480785,253.6712750994726
Ridge,0.2860836509064195,0.2615083623302936,253.7649535201456
Lasso,0.26342181721401114,0.23847941920735916,261.67829794155296
